layout,protocol,task,train_seed,eval_seed,successes,episodes,sr_percent,checkpoint_sha256,manifest_sha256
four_slot,p77,pusht,0,0,83,100,83.0,9b77a106bac8f494b5d04f55864441be8ab9c96e198945b7b284d3d11df3c9bb,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
four_slot,p77,pusht,0,1,84,100,84.0,9b77a106bac8f494b5d04f55864441be8ab9c96e198945b7b284d3d11df3c9bb,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
four_slot,p77,pusht,0,42,87,100,87.0,9b77a106bac8f494b5d04f55864441be8ab9c96e198945b7b284d3d11df3c9bb,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
five_slot,p77,cube,3072,0,100,100,100.0,09a7c8a9db8aa117548c56326492215f9fbb2ae889d1e6b3ab74e12ed0761f4c,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
five_slot,p77,cube,3072,1,100,100,100.0,09a7c8a9db8aa117548c56326492215f9fbb2ae889d1e6b3ab74e12ed0761f4c,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
five_slot,p77,cube,3072,42,100,100,100.0,09a7c8a9db8aa117548c56326492215f9fbb2ae889d1e6b3ab74e12ed0761f4c,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
four_slot,p77,pusht,42,0,86,100,86.0,24845bc7d42a0d6e2902c61ede47ac4a2b2a03065978389885682df2e2bb1471,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
four_slot,p77,pusht,42,1,90,100,90.0,24845bc7d42a0d6e2902c61ede47ac4a2b2a03065978389885682df2e2bb1471,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
four_slot,p77,pusht,42,42,85,100,85.0,24845bc7d42a0d6e2902c61ede47ac4a2b2a03065978389885682df2e2bb1471,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
five_slot,p77,reacher,0,0,52,100,52.0,2844c79574f2464b7637a8b196b154bdca1adf01ae5ef9128bc6f01589f66e64,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
five_slot,p77,reacher,0,1,48,100,48.0,2844c79574f2464b7637a8b196b154bdca1adf01ae5ef9128bc6f01589f66e64,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
five_slot,p77,reacher,0,42,51,100,51.0,2844c79574f2464b7637a8b196b154bdca1adf01ae5ef9128bc6f01589f66e64,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
four_slot,p77,pusht,3072,0,81,100,81.0,8ea91bbfa4b6e9c18b871c36d1305035bea5473822d0dc0e7302941ef364c5bb,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
four_slot,p77,pusht,3072,1,91,100,91.0,8ea91bbfa4b6e9c18b871c36d1305035bea5473822d0dc0e7302941ef364c5bb,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
four_slot,p77,pusht,3072,42,87,100,87.0,8ea91bbfa4b6e9c18b871c36d1305035bea5473822d0dc0e7302941ef364c5bb,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
five_slot,p77,reacher,42,0,54,100,54.0,bf9a20d24d12c2997ccfe2255046088b38ef8fe7e7561099c368197ce2e45541,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
five_slot,p77,reacher,42,1,48,100,48.0,bf9a20d24d12c2997ccfe2255046088b38ef8fe7e7561099c368197ce2e45541,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
five_slot,p77,reacher,42,42,37,100,37.0,bf9a20d24d12c2997ccfe2255046088b38ef8fe7e7561099c368197ce2e45541,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
